id year    education  sex nativeBorn    vocabulary age agegroup
20040350    2004    Bach    Male    Yes 10  58  5
20040353    2004    Bach    Female  Yes 5   37  3
20040354    2004    HS  Male    Yes 8   67  6
20040355    2004    HS  Female  Yes 10  46  4
20040356    2004    HS  Male    Yes 5   35  3
20040358    2004    HS  Male    Yes 7   81  6
20040359    2004    Bach    Female  No  5   57  5
20040361    2004    HS  Female  No  3   42  4
20040363    2004    HS  Female  Yes 8   48  4
20040365    2004    Grad    Male    Yes 8   51  5
20040366    2004    Bach    Male    Yes 5   89  6
20040369    2004    <HS Male    No  0   47  4
20040370    2004    Bach    Female  Yes 10  53  5
20040372    2004    HS  Female  Yes 10  66  6
20040373    2004    Grad    Female  No  10  68  6
20040374    2004    HS  Male    Yes 5   55  5
20040375    2004    Grad    Female  Yes 6   32  3
20040377    2004    Bach    Male    Yes 9   44  4
20040378    2004    HS  Female  Yes 4   67  6
20040381    2004    Bach    Female  Yes 7   38  3
20040382    2004    Bach    Male    Yes 9   69  6
20040385    2004    Grad    Female  No  1   40  4
20040386    2004    Bach    Male    No  1   32  3
20040387    2004    Bach    Female  Yes 9   37  3
20040388    2004    <HS Female  No  1   29  2
20040390    2004    HS  Male    Yes 3   23  2
20040391    2004    HS  Female  Yes 9   50  5
20040392    2004    Bach    Male    Yes 8   29  2
20040393    2004    HS  Male    Yes 10  48  4
20040394    2004    Bach    Male    Yes 9   86  6
20040396    2004    HS  Female  Yes 5   48  4
20040397    2004    JC  Female  Yes 6   62  6
20040401    2004    HS  Female  No  5   43  4
20040402    2004    Bach    Male    Yes 10  56  5
20040403    2004    Bach    Female  Yes 9   38  3
20040407    2004    Bach    Male    Yes 7   72  6
20040409    2004    Grad    Female  Yes 10  59  5
20040410    2004    Bach    Male    Yes 9   84  6
20040412    2004    HS  Female  Yes 5   21  2
20040413    2004    Bach    Female  Yes 8   23  2
20040414    2004    Grad    Female  Yes 9   24  2
20040417    2004    <HS Male    No  2   29  2
20040419    2004    HS  Female  Yes 5   35  3
20040420    2004    HS  Male    Yes 3   34  3
20040422    2004    Bach    Female  Yes 6   57  5
20040424    2004    Bach    Male    Yes 8   42  4
20040425    2004    HS  Male    Yes 8   53  5
20040427    2004    HS  Female  Yes 4   28  2
20040431    2004    Bach    Female  Yes 8   28  2
20040433    2004    Grad    Male    Yes 10  57  5
20040434    2004    Grad    Male    Yes 9   38  3
20040435    2004    Bach    Female  Yes 9   45  4
20040436    2004    HS  Male    Yes 7   88  6
20040441    2004    HS  Male    Yes 7   44  4
20040442    2004    Grad    Female  Yes 10  81  6
20040443    2004    Grad    Male    Yes 9   66  6
20040445    2004    HS  Female  Yes 7   67  6
20040446    2004    HS  Female  Yes 7   46  4
20040447    2004    HS  Male    Yes 10  56  5
20040448    2004    HS  Male    Yes 7   25  2
20040449    2004    JC  Female  Yes 7   41  4
20040450    2004    <HS Female  Yes 6   18  2
20040453    2004    HS  Male    Yes 7   25  2
20040457    2004    JC  Female  Yes 5   38  3
20040460    2004    Bach    Male    Yes 10  66  6
20040462    2004    Grad    Male    Yes 9   28  2
20040465    2004    <HS Female  No  0   33  3
20040466    2004    HS  Female  Yes 6   45  4
20040467    2004    JC  Male    Yes 5   40  4
20040468    2004    HS  Female  No  6   36  3
20040470    2004    HS  Female  No  8   61  6
20040471    2004    HS  Female  Yes 7   73  6
20040472    2004    Grad    Female  No  7   59  5
20040474    2004    HS  Female  No  3   30  3
20040475    2004    HS  Male    Yes 5   56  5
20040476    2004    HS  Female  Yes 9   80  6
20040477    2004    HS  Female  Yes 4   45  4
20040478    2004    <HS Female  Yes 6   19  2
20040485    2004    HS  Female  No  6   19  2
20040486    2004    HS  Male    No  3   40  4
20040487    2004    JC  Female  No  1   34  3
20040488    2004    HS  Male    Yes 3   56  5
20040489    2004    <HS Female  Yes 4   45  4
20040490    2004    HS  Female  Yes 6   33  3
20040492    2004    <HS Male    Yes 5   69  6
20040499    2004    <HS Female  Yes 2   63  6
20040501    2004    HS  Female  No  5   21  2
20040502    2004    <HS Female  Yes 5   30  3
20040504    2004    HS  Male    Yes 7   43  4
20040509    2004    JC  Female  No  9   22  2
20040510    2004    Bach    Female  Yes 0   33  3
20040511    2004    HS  Male    No  5   27  2
20040512    2004    <HS Male    Yes 5   19  2
20040514    2004    HS  Female  Yes 7   44  4
20040515    2004    JC  Female  Yes 6   33  3
20040516    2004    HS  Female  Yes 6   40  4
20040519    2004    <HS Female  Yes 4   76  6
20040522    2004    Bach    Female  Yes 6   33  3
20040523    2004    HS  Female  Yes 4   24  2
20040525    2004    Grad    Female  Yes 1   47  4
20040528    2004    <HS Male    Yes 5   56  5
20040530    2004    JC  Female  Yes 7   40  4
20040534    2004    Grad    Male    Yes 8   47  4
20040537    2004    HS  Male    Yes 4   22  2
20040539    2004    Bach    Male    Yes 10  34  3
20040540    2004    HS  Female  Yes 6   38  3
20040542    2004    Bach    Female  Yes 7   47  4
20040544    2004    HS  Female  Yes 6   31  3
20040545    2004    Bach    Male    Yes 7   34  3
20040546    2004    Bach    Male    Yes 8   25  2
20040552    2004    Bach    Male    No  6   49  4
20040554    2004    HS  Male    Yes 7   34  3
20040555    2004    Bach    Male    Yes 10  31  3
20040556    2004    HS  Female  Yes 6   45  4
20040559    2004    JC  Male    Yes 4   34  3
20040560    2004    JC  Female  No  6   30  3
20040561    2004    HS  Female  Yes 5   19  2
20040563    2004    Bach    Male    Yes 7   33  3
20040564    2004    HS  Male    Yes 6   31  3
20040566    2004    HS  Male    Yes 6   38  3
20040567    2004    Bach    Female  No  4   30  3
20040568    2004    Grad    Male    Yes 10  50  5
20040572    2004    Bach    Male    Yes 5   44  4
20040577    2004    <HS Female  Yes 3   33  3
20040579    2004    HS  Male    No  1   27  2
20040580    2004    HS  Male    No  2   45  4
20040582    2004    Bach    Male    Yes 5   49  4
20040587    2004    HS  Female  Yes 4   44  4
20040589    2004    HS  Male    Yes 6   28  2
20040590    2004    HS  Male    Yes 9   50  5
20040593    2004    Bach    Male    No  6   26  2
20040595    2004    Bach    Male    No  9   24  2
20040598    2004    Bach    Male    Yes 9   26  2
20040599    2004    <HS Male    Yes 5   64  6
20040603    2004    Bach    Female  Yes 7   57  5
20040604    2004    Bach    Female  Yes 7   59  5
20040608    2004    JC  Male    Yes 8   66  6
20040610    2004    Bach    Female  No  6   42  4
20040611    2004    Bach    Male    No  9   41  4
20040615    2004    Bach    Male    Yes 9   37  3
20040617    2004    JC  Female  No  6   44  4
20040618    2004    HS  Female  Yes 7   58  5
20040624    2004    HS  Female  No  7   48  4
20040627    2004    HS  Female  Yes 6   50  5
20040629    2004    Bach    Female  Yes 5   54  5
20040630    2004    HS  Female  Yes 7   35  3
20040631    2004    HS  Female  Yes 4   38  3
20040635    2004    Bach    Female  No  9   45  4
20040636    2004    Bach    Female  Yes 8   43  4
20040637    2004    Bach    Male    Yes 9   51  5
20040639    2004    Grad    Female  Yes 6   40  4
20040642    2004    Grad    Male    Yes 7   57  5
20040646    2004    <HS Male    No  2   18  2
20040648    2004    HS  Female  No  0   49  4
20040651    2004    <HS Female  Yes 6   53  5
20040653    2004    HS  Male    Yes 7   56  5
20040655    2004    HS  Female  Yes 5   74  6
20040656    2004    HS  Female  Yes 6   61  6
20040659    2004    HS  Female  Yes 5   52  5
20040660    2004    HS  Female  Yes 5   24  2
20040662    2004    HS  Male    Yes 7   36  3
20040664    2004    Bach    Female  Yes 6   27  2
20040666    2004    Bach    Male    Yes 7   38  3
20040672    2004    Bach    Male    Yes 5   24  2
20040676    2004    HS  Male    Yes 5   48  4
20040678    2004    JC  Male    Yes 7   41  4
20040679    2004    HS  Female  Yes 8   46  4
20040682    2004    HS  Male    Yes 8   67  6
20040683    2004    <HS Male    Yes 4   26  2
20040684    2004    HS  Female  Yes 9   63  6
20040686    2004    HS  Female  Yes 7   47  4
20040688    2004    Bach    Female  Yes 9   67  6
20040690    2004    Grad    Female  Yes 7   26  2
20040691    2004    Grad    Male    Yes 8   57  5
20040692    2004    JC  Female  Yes 4   54  5
20040694    2004    HS  Female  Yes 0   30  3
20040698    2004    <HS Female  Yes 3   32  3
20040699    2004    HS  Female  Yes 6   40  4
20040700    2004    HS  Male    Yes 4   29  2
20040701    2004    HS  Female  Yes 6   38  3
20040705    2004    HS  Female  Yes 6   56  5
20040706    2004    HS  Male    Yes 7   20  2
20040708    2004    HS  Male    Yes 5   29  2
20040709    2004    HS  Male    Yes 3   40  4
20040710    2004    <HS Female  Yes 5   22  2
20040713    2004    HS  Male    Yes 6   65  6
20040714    2004    HS  Female  Yes 8   51  5
20040715    2004    <HS Female  Yes 6   47  4
20040717    2004    Bach    Female  Yes 7   26  2
20040718    2004    Grad    Female  No  6   39  3
20040719    2004    HS  Female  Yes 5   52  5
20040723    2004    Bach    Female  Yes 10  65  6
20040724    2004    HS  Female  No  7   50  5
20040726    2004    Bach    Female  Yes 7   57  5
20040729    2004    HS  Male    Yes 5   43  4
20040730    2004    HS  Male    No  6   42  4
20040733    2004    HS  Male    Yes 5   50  5
20040734    2004    HS  Female  Yes 6   19  2
20040735    2004    JC  Male    Yes 4   57  5
20040742    2004    HS  Female  Yes 6   45  4
20040744    2004    Bach    Male    Yes 8   68  6
20040746    2004    HS  Female  Yes 6   35  3
20040748    2004    HS  Male    Yes 8   34  3
20040751    2004    HS  Female  Yes 9   60  6
20040755    2004    HS  Male    Yes 5   61  6
20040756    2004    HS  Female  Yes 6   30  3
20040758    2004    HS  Male    Yes 8   62  6
20040759    2004    Bach    Male    Yes 7   33  3
20040762    2004    <HS Female  Yes 7   51  5
20040763    2004    HS  Female  Yes 6   46  4
20040764    2004    <HS Male    Yes 2   45  4
20040767    2004    Bach    Female  Yes 7   23  2
20040768    2004    Grad    Female  No  3   56  5
20040769    2004    HS  Female  Yes 5   34  3
20040777    2004    JC  Male    Yes 10  55  5
20040780    2004    Bach    Female  Yes 7   32  3
20040781    2004    Bach    Male    Yes 9   42  4
20040783    2004    HS  Male    Yes 5   46  4
20040788    2004    Grad    Female  Yes 8   52  5
20040789    2004    Bach    Male    Yes 5   29  2
20040790    2004    Grad    Male    Yes 7   40  4
20040794    2004    Bach    Male    Yes 9   57  5
20040795    2004    HS  Female  No  0   28  2
20040797    2004    Bach    Female  Yes 10  48  4
20040798    2004    JC  Female  Yes 10  59  5
20040799    2004    HS  Female  Yes 6   78  6
20040800    2004    HS  Male    Yes 9   66  6
20040801    2004    Grad    Female  Yes 7   36  3
20040803    2004    JC  Female  Yes 5   60  6
20040805    2004    HS  Female  Yes 6   44  4
20040808    2004    HS  Female  Yes 7   41  4
20040811    2004    Grad    Female  Yes 8   28  2
20040813    2004    Bach    Male    Yes 5   51  5
20040816    2004    Grad    Female  Yes 7   47  4
20040820    2004    HS  Male    Yes 4   37  3
20040821    2004    HS  Female  Yes 7   25  2
20040824    2004    HS  Female  Yes 5   19  2
20040828    2004    Bach    Female  Yes 6   55  5
20040829    2004    Bach    Male    Yes 8   32  3
20040831    2004    HS  Male    Yes 5   48  4
20040835    2004    Grad    Male    Yes 9   43  4
20040836    2004    HS  Female  Yes 5   23  2
20040841    2004    Bach    Male    Yes 10  62  6
20040843    2004    Bach    Male    Yes 9   46  4
20040844    2004    Grad    Female  Yes 6   45  4
20040846    2004    HS  Female  Yes 8   26  2
20040847    2004    HS  Female  Yes 9   62  6
20040848    2004    HS  Male    Yes 8   52  5
20040850    2004    HS  Male    Yes 5   64  6
20040855    2004    Bach    Female  Yes 7   50  5
20040856    2004    Bach    Female  Yes 6   72  6
20040858    2004    Bach    Male    Yes 7   63  6
20040860    2004    Bach    Female  Yes 7   46  4
20040862    2004    HS  Male    Yes 4   52  5
20040863    2004    <HS Female  Yes 4   39  3
20040864    2004    Bach    Male    Yes 10  27  2
20040865    2004    <HS Female  Yes 4   64  6
20040868    2004    HS  Female  Yes 4   35  3
20040869    2004    HS  Male    Yes 2   35  3
20040870    2004    HS  Female  Yes 7   60  6
20040871    2004    Bach    Female  Yes 7   36  3
20040873    2004    HS  Female  Yes 8   38  3
20040874    2004    Grad    Male    Yes 8   41  4
20040875    2004    HS  Female  Yes 3   69  6
20040876    2004    Grad    Female  Yes 9   52  5
20040877    2004    Bach    Female  Yes 9   31  3
20040878    2004    Grad    Male    No  7   55  5
20040881    2004    HS  Female  Yes 9   86  6
20040884    2004    HS  Female  Yes 7   79  6
20040885    2004    HS  Female  Yes 7   33  3
20040887    2004    Bach    Female  Yes 8   26  2
20040889    2004    HS  Male    Yes 6   46  4
20040891    2004    HS  Female  Yes 1   68  6
20040892    2004    HS  Female  Yes 8   66  6
20040893    2004    HS  Female  Yes 3   66  6
20040895    2004    <HS Female  Yes 4   75  6
20040897    2004    HS  Female  Yes 6   25  2
20040898    2004    HS  Female  No  7   29  2
20040899    2004    JC  Male    No  5   44  4
20040900    2004    JC  Female  Yes 5   28  2
20040902    2004    HS  Male    Yes 9   78  6
20040905    2004    Grad    Male    No  10  69  6
20040906    2004    Bach    Male    No  1   49  4
20040912    2004    Bach    Female  Yes 6   22  2
20040914    2004    JC  Male    Yes 4   28  2
20040915    2004    Grad    Male    Yes 8   60  6
20040919    2004    Grad    Female  Yes 10  64  6
20040920    2004    Bach    Female  Yes 9   48  4
20040921    2004    HS  Male    Yes 6   63  6
20040925    2004    Grad    Male    No  7   64  6
20040927    2004    HS  Male    Yes 8   50  5
20040928    2004    Bach    Male    Yes 7   36  3
20040932    2004    JC  Male    Yes 6   48  4
20040933    2004    HS  Male    Yes 5   58  5
20040934    2004    Bach    Female  No  5   35  3
20040936    2004    <HS Male    No  9   23  2
20040939    2004    HS  Male    Yes 10  51  5
20040941    2004    JC  Female  Yes 9   29  2
20040942    2004    HS  Female  Yes 5   56  5
20040943    2004    HS  Female  Yes 3   40  4
20040944    2004    HS  Female  Yes 9   50  5
20040945    2004    HS  Female  Yes 7   48  4
20040947    2004    <HS Male    Yes 5   35  3
20040950    2004    HS  Female  Yes 6   47  4
20040952    2004    Grad    Male    Yes 7   44  4
20040954    2004    HS  Male    Yes 6   67  6
20040955    2004    <HS Female  Yes 1   73  6
20040957    2004    HS  Male    Yes 6   30  3
20040958    2004    Bach    Female  Yes 5   27  2
20040961    2004    Bach    Female  Yes 7   25  2
20040965    2004    HS  Female  Yes 7   25  2
20040966    2004    HS  Female  Yes 7   55  5
20040967    2004    HS  Male    Yes 8   23  2
20040968    2004    HS  Female  Yes 6   39  3
20040970    2004    HS  Female  Yes 6   70  6
20040975    2004    Bach    Female  Yes 6   74  6
20040976    2004    Bach    Female  Yes 8   64  6
20040978    2004    Bach    Male    Yes 8   26  2
20040981    2004    Bach    Male    Yes 8   52  5
20040983    2004    Bach    Female  Yes 9   38  3
20040985    2004    HS  Female  Yes 10  73  6
20040986    2004    Grad    Male    Yes 8   34  3
20040987    2004    HS  Female  No  6   32  3
20040988    2004    HS  Male    Yes 6   37  3
20040994    2004    JC  Female  Yes 6   34  3
20040995    2004    HS  Female  Yes 6   25  2
20040997    2004    HS  Female  Yes 7   32  3
20040998    2004    <HS Male    Yes 4   59  5
20040999    2004    <HS Female  Yes 1   19  2
20041000    2004    Grad    Male    Yes 10  36  3
20041001    2004    Grad    Female  Yes 9   65  6
20041005    2004    Grad    Male    No  9   56  5
20041007    2004    HS  Male    No  9   51  5
20041008    2004    HS  Male    Yes 8   57  5
20041009    2004    HS  Male    Yes 4   32  3
20041012    2004    <HS Female  Yes 2   85  6
20041015    2004    HS  Female  Yes 7   28  2
20041017    2004    HS  Female  Yes 8   78  6
20041018    2004    HS  Male    Yes 3   20  2
20041023    2004    HS  Male    Yes 8   34  3
20041026    2004    Bach    Male    No  10  23  2
20041027    2004    HS  Female  Yes 3   19  2
20041031    2004    HS  Male    Yes 9   70  6
20041034    2004    Bach    Female  Yes 5   52  5
20041035    2004    HS  Male    Yes 8   46  4
20041036    2004    Grad    Male    Yes 9   69  6
20041037    2004    Grad    Female  Yes 6   32  3
20041039    2004    HS  Female  Yes 6   38  3
20041041    2004    Grad    Male    Yes 8   77  6
20041042    2004    HS  Male    Yes 9   44  4
20041043    2004    HS  Female  Yes 5   41  4
20041049    2004    HS  Male    Yes 6   38  3
20041050    2004    Grad    Female  No  10  32  3
20041054    2004    JC  Female  Yes 5   34  3
20041055    2004    Bach    Female  Yes 6   38  3
20041061    2004    Bach    Male    Yes 7   60  6
20041063    2004    HS  Female  No  6   83  6
20041065    2004    JC  Female  Yes 8   49  4
20041066    2004    Bach    Female  Yes 5   32  3
20041067    2004    Bach    Male    Yes 6   81  6
20041068    2004    HS  Female  Yes 7   52  5
20041070    2004    Grad    Male    Yes 7   62  6
20041072    2004    HS  Female  Yes 6   26  2
20041073    2004    JC  Male    Yes 6   42  4
20041077    2004    Bach    Female  Yes 10  42  4
20041080    2004    Bach    Female  Yes 10  24  2
20041081    2004    Bach    Male    No  1   27  2
20041084    2004    Bach    Female  Yes 6   52  5
20041087    2004    Bach    Female  Yes 9   41  4
20041091    2004    HS  Female  Yes 6   89  6
20041092    2004    Bach    Female  Yes 7   40  4
20041093    2004    Grad    Female  Yes 10  52  5
20041095    2004    HS  Female  Yes 8   37  3
20041098    2004    HS  Female  Yes 5   56  5
20041100    2004    HS  Male    Yes 7   44  4
20041103    2004    HS  Female  Yes 6   68  6
20041107    2004    Bach    Female  Yes 4   44  4
20041108    2004    JC  Male    Yes 8   50  5
20041110    2004    HS  Male    Yes 7   55  5
20041111    2004    HS  Female  Yes 4   33  3
20041113    2004    HS  Female  Yes 7   55  5
20041114    2004    <HS Male    Yes 3   46  4
20041116    2004    HS  Female  Yes 5   45  4
20041117    2004    JC  Male    Yes 6   58  5
20041119    2004    HS  Female  Yes 5   56  5
20041120    2004    HS  Male    Yes 6   48  4
20041121    2004    Bach    Male    Yes 7   57  5
20041122    2004    JC  Male    Yes 4   51  5
20041123    2004    HS  Female  Yes 6   36  3
20041129    2004    HS  Female  Yes 8   22  2
20041130    2004    HS  Female  Yes 7   58  5
20041134    2004    HS  Female  Yes 4   43  4
20041136    2004    HS  Female  Yes 9   31  3
20041137    2004    HS  Male    Yes 6   54  5
20041141    2004    <HS Male    Yes 6   72  6
20041142    2004    HS  Female  Yes 9   25  2
20041143    2004    Bach    Male    Yes 8   67  6
20041144    2004    HS  Female  Yes 7   21  2
20041146    2004    Grad    Female  Yes 7   27  2
20041147    2004    <HS Male    Yes 6   36  3
20041148    2004    Bach    Female  Yes 10  35  3
20041149    2004    HS  Female  Yes 9   89  6
20041150    2004    <HS Male    Yes 9   62  6
20041151    2004    HS  Female  Yes 9   81  6
20041152    2004    HS  Male    Yes 5   80  6
20041153    2004    Grad    Female  Yes 8   53  5
20041155    2004    Bach    Female  Yes 6   27  2
20041160    2004    Bach    Female  Yes 8   22  2
20041162    2004    HS  Male    Yes 6   74  6
20041167    2004    JC  Female  Yes 7   47  4
20041169    2004    Grad    Male    Yes 10  65  6
20041172    2004    HS  Male    Yes 7   74  6
20041173    2004    JC  Female  Yes 6   51  5
20041174    2004    HS  Male    Yes 6   28  2
20041176    2004    HS  Female  Yes 6   73  6
20041177    2004    HS  Male    Yes 3   60  6
20041180    2004    HS  Female  Yes 7   57  5
20041184    2004    JC  Female  Yes 7   57  5
20041185    2004    Bach    Male    Yes 7   32  3
20041188    2004    HS  Male    Yes 4   22  2
20041189    2004    HS  Female  Yes 8   63  6
20041191    2004    HS  Female  Yes 5   46  4
